"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"ColumnOrder"	"ColumnName"	"ColumnType"	"ColumnDefaultValue"	"ColumnRequired"	"ColumnValidator"	"ColumnValidatorData"
"d95c01a6-0e91-54b4-84bc-c97ac9107a89"	"Semantic"	"Dynamic"	"8d6463c2-b0ec-5e34-a882-1208d52703ea"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"0"	"4e627b9c-cecb-5563-82fc-cb0ee25113b1"	"ARRAY"	""	"true"	""	""
"3db184d6-86da-514e-ad39-b93514ac3682"	"Semantic"	"Dynamic"	"095f1fae-1fc0-5e5d-8d87-675d712522d5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"0"	"89c0ded2-fd69-5654-a386-ded850d258a1"	"NID"	""	"true"	""	""
"a9cba305-e1b6-5bd8-9abf-64df3a68213b"	"Semantic"	"Dynamic"	"095f1fae-1fc0-5e5d-8d87-675d712522d5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"1"	"d94e271f-0e9b-5159-8691-6c29c7689ffb"	"STRING"	""	"false"	""	""
"758f4c09-3616-5a58-b218-f0093028b41c"	"Semantic"	"Dynamic"	"276bf07c-4aa7-5176-9853-5f4bd294f163"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"0"	"89c0ded2-fd69-5654-a386-ded850d258a1"	"NID"	""	"true"	""	""
"5f9696f2-61b2-5a30-9a99-534451d02d6a"	"Semantic"	"Dynamic"	"276bf07c-4aa7-5176-9853-5f4bd294f163"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"1"	"d94e271f-0e9b-5159-8691-6c29c7689ffb"	"NID"	""	"false"	""	""
"8c6373ae-fa8b-5564-80bf-942c91df9a90"	"Semantic"	"Dynamic"	"aa4c75a1-fc69-51c9-88dc-a1a1c7f84e01"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"0"	"e5de9548-35b9-5e3b-9968-fd9c0a665b51"	"STRING"	""	"false"	""	""
"932efaa0-3165-5057-86be-b87b1073b3e1"	"Semantic"	"Dynamic"	"406e872b-2e19-5f5e-a71d-e4e4b2c68fe5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"0"	"8c501747-846a-5cea-8fd6-c9dd3dfc674f"	"INTEGER"	""	"true"	""	""
"c3ebc718-3f1b-54be-869e-ac68b5a3211a"	"Semantic"	"Dynamic"	"406e872b-2e19-5f5e-a71d-e4e4b2c68fe5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"1"	"89c0ded2-fd69-5654-a386-ded850d258a1"	"UUID"	""	"true"	""	""
"fb234b89-ed60-5e11-8026-7355aed47c1b"	"Semantic"	"Dynamic"	"406e872b-2e19-5f5e-a71d-e4e4b2c68fe5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"2"	"dbfd9bd2-b84f-574a-ab9e-64ba3bb94793"	"STRING"	""	"true"	""	""
"ac668be6-5c80-5537-81e5-cdbfc6b57177"	"Semantic"	"Dynamic"	"406e872b-2e19-5f5e-a71d-e4e4b2c68fe5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"3"	"4d3e79aa-ab74-5858-beb3-15e0888986cb"	"POLYMORPHIC"	""	"false"	""	""
"4515abf2-ab31-55c5-b39c-ebf7438aa8e8"	"Semantic"	"Dynamic"	"406e872b-2e19-5f5e-a71d-e4e4b2c68fe5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"4"	"8a89ef19-bd5a-5e25-aa57-1172fbb437b6"	"BOOLEAN"	""	"false"	""	""
