"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"graph"
"625f706b-6129-4d68-98cf-9c98761bf3de"	"Semantic"	"Logic Graph"	"72765109-6b53-3814-9b05-34ebddd16592"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Health concept (SOLOR) <ee9ac5d2-a07c-3981-a57a-f7f26baf38d8>""
"
"58aac694-aaba-4093-822a-518cf66148bb"	"Semantic"	"Logic Graph"	"d9c20070-579e-11e7-907b-a6006ad3dba0"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Query clauses (SOLOR) <1dcedba4-f078-53ee-abbe-6abb57bedb73>""
"
"5c3f31af-6585-4a6e-985a-6e3eca5f85b2"	"Semantic"	"Logic Graph"	"4eee907a-61cb-53bf-9eb2-8e5bdc6cb545"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""version:1.2.0 <7bbd4210-381c-11e7-9598-0800200c9a66>""
"
"d1776d28-c008-4bf3-98a8-db8b64860130"	"Semantic"	"Logic Graph"	"7ebc6742-8586-58c3-b49d-765fb5a93f35"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Dynamic columns (SOLOR) <46ddb9a2-0e10-586a-8b54-8e66333e9b77>""
"
"8cc35a0b-ffda-49d3-8cf9-dfc8647a2beb"	"Semantic"	"Logic Graph"	"12131382-1535-5a77-928b-6eacad221ea2"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""KOMET preference properties (SOLOR) <c6ef98b9-60b8-5c39-b502-bb434720d30a>""
"
"2ee7e1b4-55ff-4f18-b1af-34127e80a40b"	"Semantic"	"Logic Graph"	"4f3663ab-7684-53d4-ae12-6fe73851e097"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""version:1.2.0 <7bbd4210-381c-11e7-9598-0800200c9a66>""
"
"bba5a1a3-342c-439f-a070-8178a5decbbb"	"Semantic"	"Logic Graph"	"cce9eb90-c5e4-54d0-9038-c28021d68e83"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""SOLOR Content Metadata (SOLOR) <0a47eb79-71a0-5f54-a257-1f5a94bf2a21>""
"
"39320f7c-9734-416a-8513-e1dea5b895fa"	"Semantic"	"Logic Graph"	"664641ed-6ac7-50d2-8aa4-19257ed30aae"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Performance circumstance properties (SOLOR) <574508fa-1f37-58ad-863d-78bb8e00af8a>""
"
"b3454627-2c27-4c2c-9ea9-d173f70dfbbd"	"Semantic"	"Logic Graph"	"813ccf7f-3fbe-55e9-bcc9-c944a66aac4a"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""SOLOR Content Metadata (SOLOR) <0a47eb79-71a0-5f54-a257-1f5a94bf2a21>""
"
"54b933db-b31f-4a4c-98c3-67d2bc1c6e94"	"Semantic"	"Logic Graph"	"d7afd272-c929-5060-ab45-0eab9f00807e"	"Active"	"2018-10-10 11:09:13.731"	"7e87cc5b-e85f-3860-99eb-7a44f2b9e6f9"	"9ecc154c-e490-5cf8-805d-d2865d62aef3"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""version:1.2.0 <7bbd4210-381c-11e7-9598-0800200c9a66>""
"
