RxNorm TTY	RxCUI	RxNorm Dose Form String	SNOMED CT code	SNOMED CT String	Comment
DF	408209	12 hour Extended Release Capsule	421618002	Extended-release capsule (qualifier value)	"This dose forms have an ancestor of ""oral"""
DF	316934	12 hour Extended Release Tablet	420627008	Extended-release tablet (qualifier value)	"This dose forms have an ancestor of ""oral"""
DF	316935	16 Hour Transdermal Patch	385114002	Transdermal patch (qualifier value)	
DF	316997	24 Hour Extended Release Capsule	421618002	Extended-release capsule (qualifier value)	"This dose forms have an ancestor of ""oral"""
DF	316936	24 Hour Extended Release Tablet	420627008	Extended-release tablet (qualifier value)	"This dose forms have an ancestor of ""oral"""
DF	316937	24 Hour Transdermal Patch	385114002	Transdermal patch (qualifier value)	
DF	316938	72 Hour Transdermal Patch	385114002	Transdermal patch (qualifier value)	
DF	848123	Augmented Topical Cream	421628006	Cutaneous cream (qualifier value)	
DF	848198	Augmented Topical Gel	421949005	Cutaneous gel (qualifier value)	
DF	848124	Augmented Topical Lotion	17519006	Drug lotion (qualifier value)	
DF	848125	Augmented Topical Ointment	425753008	Cutaneous ointment (qualifier value)	
DF	1649570	Auto-Injector			
DF	317692	Bar	429885007	Bar dose form (qualifier value)	
DF	238621	Bar Soap			
DF	316993	Beads	421271006	Extended-release bead implant (qualifier value)	perhaps this mapping is too specific
DF	316939	Biweekly Transdermal Patch	385114002	Transdermal patch (qualifier value)	
DF	858080	Buccal Film	443424002	Buccal film (qualifier value)	
DF	970789	Buccal Tablet	385085006	Buccal tablet (qualifier value)	
DF	91060	Caplet	48582000	Caplet (qualifier value)	
DF	1995	Capsule	385049006	Capsule dose form (qualifier value)	
DF	1649572	Cartridge			
DF	657707	Cement	419202002	Cement (qualifier value)	
DF	316941	Chewable Bar	429885007	Bar dose form (qualifier value)	
DF	91058	Chewable Tablet	66076007	Chewable tablet (qualifier value)	
DF	402499	Chewing Gum	385080001	Medicated chewing-gum (qualifier value)	
DF	446669	Cream	385099005	Cream (qualifier value)	
DF	316995	Delayed Release Oral Capsule	421027002	Delayed-release capsule (qualifier value)	
DF	10312	Delayed Release Oral Tablet	421374000	Delayed-release tablet (qualifier value)	
DF	316942	Disintegrating Oral Tablet	385036001	Dispersible tablet (qualifier value)	
DF	317689	Disk			
DF	479172	Douche			
DF	657710	Drug Implant	385286003	Implant dosage form (qualifier value)	
DF	744995	Dry Powder Inhaler	385207009	Inhalation powder (qualifier value)	
